epoch,ema_acc,test/ca_acc
0,None,0.328125
0,0.3887522267070199,0.328125
1,0.5289536043628515,0.65625
2,0.7545218621859449,0.609375
3,0.8519439058498988,0.765625
4,0.9710421354650469,0.875
5,0.8929495152889564,0.9375
6,0.9097979241596177,0.875
7,0.9034816467864129,0.890625
8,0.92110929954415,0.875
